GEOID,Drive15_EVSE
36081028801,59
36081028802,52
36081028803,55
36081028900,299
36081029100,329
36081029300,293
36081029400,61
36081029500,302
36081029700,316
36081029900,291
36081030600,49
36081030903,305
36081030904,335
36081030905,282
36081030906,299
36081031700,366
36081032000,50
36081032700,193
36081032800,10
36081032900,317
36081033000,49
36081033100,284
36081033401,7
36081033403,6
36081033404,2
36081033405,10
36081033700,248
36081033900,227
36081034700,319
36081035100,237
36081035200,7
36081035300,259
36081035700,242
36081035800,2
36081036100,301
36081036300,220
36081036500,193
36081036600,9
36081036700,242
36081036800,9
36081037100,232
36081037300,195
36081037501,104
36081037502,152
36081037600,9
36081037700,176
36081037900,118
36081038100,194
36081038301,309
36081038302,117
36081038400,12
36081039400,9
36081039800,12
36081039901,194
36081039902,246
36081040000,17
36081040101,119
36081040102,193
36081040200,15
36081040301,134
36081040302,126
36081040400,20
36081040501,151
36081040502,108
36081040701,102
36081040702,108
36081040901,105
36081040902,85
36081041100,103
36081041300,109
36081041400,52
36081041500,125
36081042400,12
36081042600,7
36081042700,177
36081043200,46
36081043400,46
36081043701,267
36081043702,202
36081043900,173
36081044000,55
36081044301,199
36081044302,168
36081044400,70
36081044601,57
36081044602,103
36081044800,97
36081045000,105
36081045200,98
36081045400,98
36081045500,192
36081045600,112
36081045700,198
36081045800,109
36081045900,160
36081046000,89
36081046100,147
36081046200,89
36081046300,108
36081046400,89
36081046500,98
36081046600,89
36081046700,69
36081046800,70
36081046901,109
36081046902,49
36081047000,62
36081047100,175
36081047200,91
36081047300,172
36081047500,204
36081047600,89
36081047801,81
36081047802,74
36081047900,250
36081048000,70
36081048100,206
36081048200,72
36081048301,267
36081048302,315
36081048400,64
36081048500,265
36081048900,260
36081049201,91
36081049202,79
36081049301,278
36081049302,239
36081049500,222
36081049600,72
36081049700,260
36081049900,156
36081050000,22
36081050201,56
36081050202,22
36081050400,19
36081050500,208
36081050600,22
36081050700,140
36081050800,22
36081051000,56
36081051100,337
36081051200,19
36081051300,274
36081051500,339
36081051600,18
36081051700,305
36081051800,10
36081052000,15
36081052100,237
36081052200,15
36081052400,18
36081052500,201
36081052600,13
36081052800,12
36081053000,10
36081053100,237
36081053200,18
36081053401,15
36081053501,182
36081053502,161
36081053601,19
36081053800,15
36081053901,108
36081053902,106
36081054000,19
36081054200,84
36081054500,85
36081054700,85
36081054800,93
36081054900,83
36081055100,27
36081055200,93
36081055300,69
36081055400,18
36081055500,91
36081055600,84
36081055700,33
36081055800,69
36081055900,99
36081056000,22
36081056100,51
36081056200,18
36081056400,25
36081056500,118
36081056600,22
36081056700,80
36081056800,8
36081057700,56
36081057900,59
36081058000,13
36081058100,24
36081058200,13
36081058300,32
36081058500,27
36081058700,42
36081058900,35
36081059000,13
36081059100,107
36081059200,8
36081059300,93
36081059400,13
36081059501,170
36081059502,265
36081059600,13
36081059800,13
36081059900,257
36081060000,8
36081060100,181
36081060300,186
36081060600,13
36081060701,225
36081060800,13
36081061000,12
36081061200,8
36081061301,53
36081061302,71
36081061400,8
36081061601,5
36081061602,8
36081061800,6
36081061900,58
36081062000,5
36081062100,76
36081062200,8
36081062300,106
36081062400,2
36081062500,64
36081062600,2
36081062700,55
36081062900,80
36081063000,4
36081063200,13
36081063301,109
36081063302,141
36081063500,143
36081063700,91
36081063800,6
36081063900,159
36081064101,66
36081064102,52
36081064500,132
36081064600,7
36081065000,7
36081065401,7
36081065402,2
36081065501,104
36081065600,7
36081065702,128
36081065703,143
36081065900,121
36081066000,2
36081066100,105
36081066301,183
36081066302,81
36081066401,2
36081066402,2
36081066403,2
36081066404,2
36081066501,247
36081066701,227
36081066900,184
36081067100,208
36081067700,240
36081067900,243
36081068000,3
36081068200,7
36081068300,198
36081068700,230
36081069000,7
36081069300,204
36081069400,2
36081069500,202
36081069701,177
36081069702,231
36081070300,153
36081070700,146
36081070900,110
36081071100,148
